Nome,País,Cidade,Ranking_Internacional,Linguas_Competencia,Taxas_Extras,Cursos_em_Ingles,Auxilio_Monetario,Auxilio_Moradia,Data_Inspecao,Link_Universidade
Universidad Distrital Francisco José de Caldas,Colombia,Bogota,1501,Espanhol B1,VRC,Não,Não,Não,22/02/2025,https://urelinter.udistrital.edu.co/movilidad/entrante/informacion
KTH Royal Institute of Technology,Suecia,Stockholm,74,,,Sim,Não,Parcial/Condicional,22/02/2025,https://www.kth.se/en/om/internationellt/fact-sheet-for-kth-royal-institute-of-technology-1.1145339
Universitat de València,Espanha,Valencia,445,Espanhol B1,,Não,Não,Parcial/Condicional,22/02/2025,https://www.uv.es/uvweb/college/en/international-relations/international-relations/international-programme/incoming/general-information-1285847261729.html#students
Ecole Nationale Superieure d Architecture et de Paysage de Lille,França,Lille,721,Frances B2 || Ingles B2,,Parcial/Condicional,Não,Não,22/02/2025,https://www.lille.archi.fr/etudiants-en-echange/
Indian Institute of Technology Bombay,India,Mumbai,118,Ingles B2,VRC,Sim,Não,Não,22/02/2025,https://www.ir.iitb.ac.in/en/students/how-to-apply_inbound
De Haagse Hogeschool ,Holanda,Haia,,Ingles B2,,Sim,Parcial/Condicional,Não,22/02/2025,https://www.thuas.com/programmes/exchange-programmes-other-courses/exchange-programmes
École Nationale Supérieure de Mécanique et d Aérotechnique,França,Chasseneuil-du-Poitou,,Frances B2 || Ingles B2,,Parcial/Condicional,Não,Parcial/Condicional,22/02/2025,https://www.ensma.fr/en/international-students/
Université d Angers,França,Angers,651,Frances B2 || Ingles B2,,Parcial/Condicional,Não,Parcial/Condicional,22/02/2025,https://www.univ-angers.fr/en/you-are/exchange-student.html
Université de Lille,França,Lille,721,Frances B2,,Não,Não,Parcial/Condicional,22/02/2025,https://international.univ-lille.fr/en/come-to-the-university-of-lille/students/as-part-of-an-international-programme/exchange-programme-erasmus-isep/
Université Paris 1 Panthéon-Sorbonne,França,Paris,283,Frances B2,,Não,Não,Parcial/Condicional,22/02/2025,https://international.pantheonsorbonne.fr/en/join-paris-1-pantheon-sorbonne/exchange-student
Universidade do Minho,Portugal,Braga,611,,,Não,Não,Não,22/02/2025,https://alunos.uminho.pt/PT/estudantesin/Paginas/ProcedimentosCandidaturas.aspx
Gottfried Wilhelm Leibniz Universität Hannover,Alemanha,Hannover,426,Alemão B2,VRC,Não,Parcial/Condicional,Não,22/02/2025,https://www.uni-hannover.de/en/studium/vor-dem-studium/international-prospective-students
Universidad Nacional de Moreno,Argentina,Buenos Aires,,Espanhol B1,,Não,Parcial/Condicional,Não,22/02/2025,https://www.unm.edu.ar/index.php/ingresantes/guia-para-estudiantes-extranjeros
Universidad Católica del Norte,Chile,Antofagasta,1201,Espanhol B1,,Não,Não,Não,23/02/2025,https://movilidadsaliente.ucn.cl/
Universidad de Concepción,Chile,Concepción,631,Espanhol B1,,Não,Não,Não,23/02/2025,https://dri.udec.cl/en/ven-a-la-udec/informacion-para-estudiantes-internacionales/
Universidad Diego Portales,Chile,Santiago,631,Espanhol B1,,Não,Não,Não,23/02/2025,https://www.udp.cl/
Universidad Estatal de Bolívar,Equador,Guanujo,,Espanhol B1,,Não,Não,Não,23/02/2025,https://www.ueb.edu.ec/index.php
Universidad de Granada,Espanha,Granada,431,Espanhol B1,,Não,Não,Não,23/02/2025,https://internacional.ugr.es/estudiantes/movilidad-entrante#title2
Universidad de León,Espanha,León,951,,,Parcial/Condicional,Não,Parcial/Condicional,23/02/2025,https://www.unileon.es/internacional/estudiantes/movilidad-internacional-entrantes
Universitat de Vic ,Espanha,Barcelona,531,Espanhol B2,,Não,Não,Parcial/Condicional,23/02/2025,https://www.uvic.cat/en/international/exchange_students
Conservatoire national des arts et métiers,França,Paris,731,Frances B1 || Ingles B1,,Parcial/Condicional,Parcial/Condicional,Não,23/02/2025,https://www.cnam.eu/mobility/#2
Université de Bordeaux,França,Bordeaux,535,Frances B1 ,,Não,Parcial/Condicional,Não,23/02/2025,https://www.u-bordeaux.fr/en/international/come-to-bordeaux/international-students
Université Paul-Valéry Montpellier 3,França,Montpellier,1001,Frances B1 ,,Não,Não,Parcial/Condicional,23/02/2025,https://www.univ-montp3.fr/en/international
Université de Rennes 1,França,Rennes,721,Frances B2 ,VRC,Não,Parcial/Condicional,Não,23/02/2025,https://www.univ-rennes.fr/en/studying-university-rennes-exchange-student
Aix Marseille Université,França,Aix-en-Provence,481,Frances B1 ,,Não,Parcial/Condicional,Não,23/02/2025,https://www.univ-amu.fr/en/public/universities-and-partner-networks
Université de technologie de Compiègne,França,Compiègne,,Frances B1 ,,Não,Parcial/Condicional,Parcial/Condicional,23/02/2025,https://www.utc.fr/en/international-relations/international-mobility/i-am-a-foreign-exchange-student/
